VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
1,02/03/2021 06:47:00 AM,02/03/2021 06:59:49 AM,N,1,92,95,1,2.4,10.5,0,0.5,0,0,,0.3,11.3,2,1,0
2,02/03/2021 06:48:17 AM,02/03/2021 07:15:48 AM,N,1,49,197,1,12.34,36.5,0,0.5,0,0,,0.3,37.3,1,1,0
2,02/03/2021 06:48:26 AM,02/03/2021 07:07:19 AM,N,1,74,140,1,3.42,14.5,0,0.5,4.51,0,,0.3,22.56,1,1,2.75
2,02/03/2021 06:48:50 AM,02/03/2021 07:03:14 AM,N,1,130,191,1,2.79,12,0,0.5,0,0,,0.3,12.8,2,1,0
,02/03/2021 06:51:00 AM,02/03/2021 07:13:00 AM,,,250,174,,5.85,23.09,2.75,0,0,0,,0.3,26.14,,,
,02/03/2021 06:52:00 AM,02/03/2021 07:26:00 AM,,,47,137,,8.69,32.54,2.75,0,0,0,,0.3,35.59,,,
2,02/03/2021 06:52:59 AM,02/03/2021 07:01:48 AM,N,1,116,74,1,2.04,8.5,0,0.5,1.86,0,,0.3,11.16,1,1,0
,02/03/2021 06:53:00 AM,02/03/2021 07:21:00 AM,,,81,69,,6.32,31.31,2.75,0,0,0,,0.3,34.36,,,
,02/03/2021 06:53:00 AM,02/03/2021 07:26:00 AM,,,152,242,,9.46,34.69,2.75,0,0,0,,0.3,37.74,,,
,02/03/2021 06:54:00 AM,02/03/2021 07:06:00 AM,,,37,255,,2.26,11.2,0,0,2.52,0,,0.3,14.02,,,
,02/03/2021 06:54:00 AM,02/03/2021 07:35:00 AM,,,37,140,,9.39,41.09,2.75,0,0,0,,0.3,44.14,,,
1,02/03/2021 06:54:07 AM,02/03/2021 07:00:14 AM,N,1,75,74,1,1,6,0,0.5,0,0,,0.3,6.8,2,1,0
1,02/03/2021 06:56:23 AM,02/03/2021 07:02:53 AM,N,1,41,151,1,1.6,7,0,0.5,1.95,0,,0.3,9.75,1,1,0
2,02/03/2021 06:58:55 AM,02/03/2021 07:28:33 AM,N,1,52,50,1,7.87,26.5,0,0.5,9.02,0,,0.3,39.07,1,1,2.75
1,02/03/2021 06:59:46 AM,02/03/2021 07:10:15 AM,N,1,74,41,1,1.7,8.5,0,0.5,0,0,,0.3,9.3,2,1,0
,02/03/2021 07:00:00 AM,02/03/2021 07:51:00 AM,,,85,166,,15.74,42.32,2.75,0,0,6.12,,0.3,51.49,,,
,02/03/2021 07:00:00 AM,02/03/2021 07:47:00 AM,,,49,244,,16.17,50.42,2.75,0,0,0,,0.3,53.47,,,
2,02/03/2021 07:02:50 AM,02/03/2021 07:15:50 AM,N,1,74,236,1,1.71,9.5,0,0.5,2.61,0,,0.3,15.66,1,1,2.75
,02/03/2021 07:04:00 AM,02/03/2021 07:35:00 AM,,,188,231,,6.04,31.41,2.75,0,0,0,,0.3,34.46,,,
2,02/03/2021 07:05:00 AM,02/03/2021 07:32:06 AM,N,1,75,244,1,5.24,21.5,0,0.5,4.46,0,,0.3,26.76,1,1,0
,02/03/2021 07:06:00 AM,02/03/2021 07:34:00 AM,,,259,42,,10.75,33.25,2.75,0,0,12.24,,0.3,48.54,,,
,02/03/2021 07:06:00 AM,02/03/2021 07:50:00 AM,,,153,137,,11.49,46,2.75,0,0,0,,0.3,49.05,,,
,02/03/2021 07:06:00 AM,02/03/2021 07:22:00 AM,,,116,240,,7.08,33.08,2.75,0,0,0,,0.3,36.13,,,
1,02/03/2021 07:07:08 AM,02/03/2021 07:18:12 AM,N,1,74,75,1,1.4,8.5,0,0.5,1.85,0,,0.3,11.15,1,1,0
,02/03/2021 07:08:00 AM,02/03/2021 07:49:00 AM,,,82,75,,9.08,22.53,5.5,0,0,6.12,,0.3,34.45,,,
2,02/03/2021 07:08:35 AM,02/03/2021 07:31:59 AM,N,4,95,265,1,10.14,31.5,0,0.5,0,0,,0.3,32.3,2,1,0
,02/03/2021 07:09:00 AM,02/03/2021 07:34:00 AM,,,45,28,,14.23,58.5,2.75,0,0,0,,0.3,61.55,,,
2,02/03/2021 07:09:25 AM,02/03/2021 07:25:00 AM,N,1,71,61,1,2.03,11.5,0,0.5,0,0,,0.3,12.3,1,1,0
,02/03/2021 07:10:00 AM,02/03/2021 07:33:00 AM,,,159,263,,3.77,24.32,2.75,0,0,0,,0.3,27.37,,,
